City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,cockburn town,21.4612,-71.1419,23.24,61,0,2.28,TC,1706995373
336,el granada,37.5027,-122.4694,14.57,74,40,4.12,US,1706995373
337,taltal,-25.4,-70.4833,22.05,72,25,1.56,CL,1706995220
338,morden,49.1919,-98.1014,4.24,93,64,3.6,CA,1706995375
339,reggane,26.7158,0.1714,16.08,26,2,5.36,DZ,1706995376
340,alamosa,37.4695,-105.87,0.99,75,100,1.54,US,1706995377
341,yima,34.7381,111.8839,-5.32,92,100,2.93,CN,1706995215
342,sisimiut,66.9395,-53.6735,-21.17,92,70,3.98,GL,1706995378
343,havre,49.5833,0.3333,10.67,100,75,6.69,FR,1706995379
344,bojnurd,37.4747,57.329,-6.03,93,0,1.03,IR,1706995380
345,susuman,62.7833,148.1667,-28.9,99,100,1.34,RU,1706995381
346,waddan,29.1614,16.139,12.1,51,2,2.93,LY,1706995382
347,joao monlevade,-19.81,-43.1736,22.08,93,95,1.41,BR,1706995383
348,manokwari,-0.8667,134.0833,25.65,80,100,1.81,ID,1706995383
349,korla,41.7597,86.1469,-6.95,84,30,2.17,CN,1706995384
350,cadale,2.7603,46.3222,26.39,82,83,7.82,SO,1706995385
351,morehead city,34.7229,-76.726,11.13,59,0,4.12,US,1706995159
352,williams lake,52.1415,-122.1445,2.25,33,20,5.14,CA,1706995387
353,sidney,-33.8679,151.2073,24.08,79,0,3.09,AU,1706995244
354,qamdo,31.1667,97.2333,-13.25,46,42,2.33,CN,1706995389
355,puerto deseado,-47.7503,-65.8938,13.16,52,8,5.76,AR,1706995390
356,mossel bay,-34.1831,22.146,19.96,91,100,4.31,ZA,1706995391
357,ambon,-3.6954,128.1814,26.71,14,40,2.57,ID,1706995337
358,haimen,23.1935,116.6142,16.94,94,100,6.78,CN,1706995393
359,tuyum,9.9769,122.5582,25.69,84,1,4.77,PH,1706995393
